,Y,Y1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Population2015,percentage_pop_perZiP
10454,0.02,2.72,0,0.249046831,1.937030911,0.138359351,0.004611978,0.02767187,0,1.129934698,0.096851546,0.046119784,3.629626968,38959,0
10301,0.03,3.22,-0.01,0.343023511,3.239666494,0.71939653,0.038113723,0.009528431,0,1.010013672,0.057170585,0.047642154,5.464555101,40245,0
11421,0.06,2.5,0.01,0.200305871,7.955004593,1.2876806,0.009538375,0.033384312,0.004769187,1.311526537,0.004769187,0.01907675,10.82605541,40287,0
11205,0.07,5.56,0.03,0.200703629,5.012812064,0.267604838,0.095573157,0.033450605,0.004778658,5.041484011,0.057343894,0.023893289,10.73764414,40367,0
11413,0.02,2.19,0.01,0.159188011,2.662781267,1.119139953,0.009647758,0,0.004823879,0.530626702,0.043414912,0,4.529622482,40749,0
10455,0.02,3.25,-0.01,0.284692681,2.026625862,0.067554195,0.0048253,0.062728896,0.0048253,1.737107882,0.024126498,0.062728896,4.275215508,40761,0
11357,0,4.45,0.01,0.185714078,3.044733432,1.202254292,0.014661638,0.014661638,0.004887213,0.307894392,0,0.029323275,4.804129957,41284,0
10305,0.02,4.15,-0.01,0.262962436,3.512781226,0.79881042,0.054577109,0,0.004961555,0.585463538,0.019846222,0.009923111,5.249325617,41912,0.01
11365,0.04,3.43,0.02,0.154200885,3.9395839,0.706339538,0.014922666,0.004974222,0,0.283530659,0.004974222,0.004974222,5.113500315,42019,0.01
10304,0,3.15,0,0.459545247,2.492533458,0.654352471,0.019980228,0.034965399,0,2.20282015,0.029970342,0.019980228,5.914147524,42195,0.01
11106,0.03,5.38,0.01,0.344204,4.894783347,0.425193176,0.035432765,0.035432765,0.005061824,4.241808112,0.010123647,0.045556412,10.03759605,42759,0.01
10475,0.01,1.7,-0.01,0.035489114,2.093857708,0.273773163,0,0.005069873,0,0.060838481,0.010139747,0.126746835,2.605914919,42827,0.01
